"data__ID Nation","data__Nation","data__ID Year","data__Year","data__Population","data__Slug Nation","source__measures__-","source__annotations__source_name","source__annotations__source_description","source__annotations__dataset_name","source__annotations__dataset_link","source__annotations__table_id","source__annotations__topic","source__annotations__subtopic","source__name"
"01000US","United States","2022","2022","331097593","united-states","Population","Census Bureau","The American Community Survey (ACS) is conducted by the US Census and sent to a portion of the population every year.","ACS 5-year Estimate","http://www.census.gov/programs-surveys/acs/","B01003","Diversity","Demographics","acs_yg_total_population_5"
"01000US","United States","2021","2021","329725481","united-states","","","","","","","","",""
"01000US","United States","2020","2020","326569308","united-states","","","","","","","","",""
"01000US","United States","2019","2019","324697795","united-states","","","","","","","","",""
"01000US","United States","2018","2018","322903030","united-states","","","","","","","","",""
"01000US","United States","2017","2017","321004407","united-states","","","","","","","","",""
"01000US","United States","2016","2016","318558162","united-states","","","","","","","","",""
"01000US","United States","2015","2015","316515021","united-states","","","","","","","","",""
"01000US","United States","2014","2014","314107084","united-states","","","","","","","","",""
"01000US","United States","2013","2013","311536594","united-states","","","","","","","","",""
